通し番号,カテゴリー,修正前,修正後,コメント
2,単語訂正,オリジナルスイーツブランド 「オダメイド」 のアイスや、焼き菓子、地元産の味噌や醤油、山菜を使った加工品など、この地域ならではの特産品が人気,オリジナルスイーツブランド「オダメイド」 のアイスや、焼き菓子、地元産の味噌やしょう油、山菜を使った加工品など、この地域ならではの特産品が人気,漢字から平仮名　醤油
17,単語訂正,道の駅大歩危周辺から約4キロが大歩危、下流に向かって約3キロが小歩危と呼ばれている。,道の駅大歩危周辺から約4kmが大歩危、下流に向かって約3kmが小歩危と呼ばれている。,IS単位に直す
24,単語訂正,見た目もカワイイのでおみやげにも◎。,見た目もカワイイのでお土産にも◎。,平仮名から漢字　平仮名が続く
41,単語訂正,船上でヘッドセットを装着すれば、360° のパノラマオーシャンビュー。,船上でヘッドセットを装着すれば、360度のパノラマオーシャンビュー。,ISの°は見えにくい
46,単語訂正,愛媛・中山町,愛媛・中山,町の削除
13,句読点の変更,ペット用サービス　テラス席あり、芝生・公園で散歩可。,ペット用サービス　テラス席あり、芝生・公園で散歩可,情報の提示　文末の。削除
18,句読点の変更,授乳室、おむつ台、多目的トイレあり,授乳室・おむつ台・多目的トイレあり,情報の並列は・を使う
27,句読点の変更,ほかにも、おいりソフトや観音寺地域ブランド商品などおいしいものがいっぱい。,ほかにも、おいりソフトや観音寺地域ブランド商品など、おいしいものがいっぱい。,読点追加
37,句読点の変更,芝生の広場や遊具があり、木陰もあるので、小さな子ども連れにもおすすめ！,芝生の広場や遊具があり木陰もあるので、小さな子ども連れにもおすすめ！,読点の削除
92,句読点の変更,540円いも焼き菓子 ひがしやま,540円いも焼き菓子 ひがしやま。,句点追加
15,誤字訂正,ペット用サービス　ペット連れでの飲食末ペースの利用可。,ペット用サービス　ペット連れでの飲食スペースの利用可。,余計な文字の追加
109,誤字訂正,西土佐のゆずを手絞りで。,西土佐のゆずを手搾りで。,漢字の間違い
55,誤字訂正,香川・高知旅行の道中、休憩スポットとして立ち寄りやすい。,香川・高知旅行の道中も休憩スポットとして立ち寄りやすい。,助詞を追加　香川高知旅行者のみ使うわけではない　「も」を追加して範囲を広める
3,表現変更,下.かじか亭は道の駅 小田の郷せせらぎの敷地内にある。川沿いには眺めのいいテラス席もあり、ワンコ連れも大歓迎！,下.「かじか亭」 は道の駅 小田の郷せせらぎの敷地内にある。川沿いには眺めのいいテラス席もあり、ワンコ連れも大歓迎！,「」をつけて強調
9,表現変更,土佐清水産のグリーンレモンを使った「グリーンレモンのうどん」700円は夏季限定メニュー。,土佐清水産のグリーンレモンを使った、グリーンレモンのうどん700円は夏季限定メニュー。,「」削除　商品名でなかった
32,表現変更,「SUKUMOモニュメント」と一緒に撮れるフォトスポットもあるので、観光の記念にぜひ！,「SUKUMOモニュメント」と一緒に撮影できるフォトスポットもあるので、観光の記念にぜひ！,撮れるは話し言葉
61,表現変更,濃厚チーズケーキと香り高い新宮茶を合わせた新作。,なめらかなチーズケーキと新宮茶を合わせた逸品。
